Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Asia,2001,  2 042,  5 651,  16 198,  10 446,  18 310,  16 547,  26 238,  9 791,  4 475,   791,  110 490, 1 669 249, 2 879 001, 6 469 660, 3 082 214, 1 824 118,  617 072,  557 098,  213 191,  46 188,  3 097, 17 360 888
Asia,2002,  1 940,  5 633,  16 256,  10 499,  18 672,  16 901,  26 863,  10 086,  4 646,   833,  112 330, 1 663 491, 2 880 731, 6 604 297, 3 134 175, 1 859 477,  638 955,  573 388,  221 727,  48 469,  3 293, 17 628 002
Asia,2003,  1 829,  5 639,  16 371,  10 559,  19 092,  17 299,  27 551,  10 425,  4 847,   888,  114 500, 1 656 545, 2 879 683, 6 739 831, 3 184 116, 1 893 997,  661 996,  589 292,  230 820,  50 840,  3 519, 17 890 639
Asia,2004,  1 793,  5 741,  16 727,  10 732,  19 613,  17 773,  28 305,  10 786,  5 060,   944,  117 474, 1 649 637, 2 876 300, 6 878 112, 3 237 004, 1 929 934,  685 471,  604 889,  240 142,  53 454,  3 765, 18 158 708
Asia,2005,  1 664,  5 640,  16 698,  10 731,  20 020,  18 181,  28 994,  11 140,  5 292,  1 006,  119 366, 1 641 419, 2 869 364, 7 019 600, 3 291 945, 1 967 473,  710 088,  620 794,  249 590,  56 307,  4 009, 18 430 589
Asia,2006,  1 552,  5 601,  16 809,  10 805,  20 451,  18 598,  29 669,  11 474,  5 501,  1 057,  121 518, 1 635 177, 2 860 340, 7 166 941, 3 350 395, 2 006 862,  734 705,  637 966,  259 075,  59 158,  4 237, 18 714 857
Asia,2007,  1 468,  5 552,  16 905,  10 870,  20 860,  18 999,  30 309,  11 794,  5 711,  1 106,  123 574, 1 633 440, 2 849 196, 7 319 886, 3 412 488, 2 048 393,  759 930,  656 225,  268 488,  62 054,  4 458, 19 014 557
Asia,2008,  1 454,  5 598,  17 265,  11 083,  21 458,  19 556,  31 155,  12 183,  5 970,  1 163,  126 887, 1 635 396, 2 838 135, 7 473 081, 3 474 222, 2 089 785,  785 095,  675 103,  277 918,  65 152,  4 679, 19 318 568
Asia,2009,  1 324,  5 454,  17 186,  11 098,  21 786,  19 880,  31 677,  12 431,  6 167,  1 210,  128 213, 1 640 204, 2 830 841, 7 626 223, 3 537 913, 2 131 141,  807 824,  695 179,  287 258,  68 432,  4 951, 19 629 966
Asia,2010,  1 255,  5 399,  17 283,  11 203,  22 213,  20 280,  32 319,  12 720,  6 406,  1 284,  130 364, 1 645 252, 2 825 755, 7 782 611, 3 605 794, 2 173 982,  829 268,  717 498,  296 782,  71 874,  5 282, 19 954 096
Asia,2011,  1 190,  5 374,  17 469,  11 386,  22 765,  20 791,  33 148,  13 065,  6 667,  1 361,  133 216, 1 649 916, 2 823 644, 7 939 408, 3 675 988, 2 218 205,  850 522,  742 055,  306 513,  75 293,  5 627, 20 287 171
Asia,2012,  1 136,  5 346,  17 615,  11 552,  23 194,  21 198,  33 795,  13 314,  6 885,  1 433,  135 468, 1 656 923, 2 826 903, 8 092 192, 3 744 067, 2 264 129,  875 883,  769 271,  316 111,  78 767,  5 987, 20 630 232
Asia,2013,  1 082,  5 262,  17 724,  11 741,  23 673,  21 682,  34 541,  13 579,  7 124,  1 507,  137 916, 1 664 191, 2 831 862, 8 238 979, 3 803 743, 2 309 978,  908 395,  798 526,  325 535,  82 568,  6 377, 20 970 153
