Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Dem. Rep. Congo,2019,6147,36862,57160,1963,2891,10238,217,29543,10119,44646,672,34003,6355,5980,11354,1268,89906,8034,19997,14393,24531,4384,864,421527
Denmark,2019,31,18488,0,32,43,24,198,294,1,2473,817,372,81,668,1434,10,15330,1133,4572,955,2684,2703,600,52943
Djibouti,2019,110,750,97,27,109,903,3,161,134,593,12,318,206,75,207,20,1240,136,146,226,357,58,15,5903
Dominica,2019,1,182,0,4,8,5,0,12,1,30,4,2,2,4,57,1,242,43,22,11,25,19,6,681
Dominican Rep.,2019,217,10808,5,319,1993,1362,53,2668,231,2010,151,558,464,671,2965,49,27140,2280,1937,2945,3915,1629,446,64816
East Asia,2019,6793,2814345,2,58384,13140,32678,12301,262312,1738,205330,20258,5860,17431,128470,188282,27607,4727920,209292,1126946,164720,298102,334678,80336,10736925
Ecuador,2019,118,17627,1,578,1907,1207,67,4788,263,5436,349,484,734,1678,4951,71,21464,6914,3670,3905,6908,2638,738,86496
Egypt,2019,764,57934,0,972,512,56,82,29490,751,21371,150,8474,816,3105,20478,179,263873,21981,22560,62635,69216,6918,2439,594756
El Salvador,2019,52,5905,0,213,3047,680,11,1279,44,2304,874,308,293,531,2257,11,9695,4083,1514,1500,2432,1695,305,39033
England,2019,218,160593,0,244,260,191,1914,2232,31,34889,1337,1157,126,4436,5102,107,153285,6288,42289,7959,27005,27257,6694,483614
Eq. Guinea,2019,55,602,768,14,55,2118,5,282,56,363,7,121,31,77,223,10,960,139,157,126,234,65,16,6484
Eritrea,2019,693,3674,331,160,748,1378,16,1119,866,4429,62,4265,1051,580,1055,148,6660,660,1117,1572,2491,248,71,33394
Estonia,2019,6,3832,0,42,58,34,128,82,0,224,214,3,2,208,140,6,8201,349,303,277,584,757,127,15577
eSwatini,2019,73,979,9,52,235,3321,4,397,26,721,10,481,92,226,682,22,1519,269,319,190,347,55,17,10046
Ethiopia,2019,11283,39600,13104,1745,7175,26591,217,9212,7634,46301,647,50773,8989,5655,12873,2623,76975,9860,13727,22772,35185,6433,1230,410604
Fiji,2019,13,810,0,59,35,9,3,90,15,216,2,108,19,84,1725,2,2642,292,412,87,181,73,44,6921
Finland,2019,16,14495,0,104,83,5,291,266,2,775,565,51,12,873,496,11,25383,706,2043,1152,2589,3280,727,53925
France,2019,226,197313,0,944,538,457,1839,4237,46,23096,3748,1607,4734,11014,12806,213,166496,12700,22060,10722,29763,46008,7997,558564
Gabon,2019,86,1436,715,25,76,1115,10,519,80,697,19,268,68,172,614,23,2541,367,308,397,603,167,43,10349
Gambia,2019,212,1070,637,37,15,1078,3,259,291,1223,14,553,116,129,330,31,2603,310,424,357,625,154,49,10520
Georgia,2019,21,8327,0,80,125,23,26,693,19,765,42,15,10,313,1374,20,29709,706,1222,1562,2139,1721,304,49216
Germany,2019,216,274088,0,465,617,421,1678,4468,35,25096,6379,4297,782,11664,22363,99,364285,35220,45165,20492,48420,49557,12875,928682
Ghana,2019,3487,18509,21597,545,774,14621,58,5806,1518,16306,231,6562,1973,2065,6173,433,39650,4679,5938,6125,10229,1942,490,169711
Greece,2019,30,35234,0,373,130,22,186,1278,4,5957,42,44,10,500,1366,21,55921,4604,6399,1366,4075,6996,1567,126125
Greenland,2019,1,157,0,3,5,2,2,2,0,12,9,1,1,34,6,0,123,7,32,9,24,9,4,443
Grenada,2019,0,188,0,6,6,5,1,10,1,47,4,1,2,5,75,0,263,50,19,18,37,16,5,759
Guam,2019,2,207,0,6,6,7,1,17,1,34,2,6,3,32,46,0,474,56,53,33,45,38,10,1079
Guatemala,2019,242,12605,0,407,6293,669,218,2795,505,9875,1769,2916,1847,953,6671,245,15882,6018,2529,5521,8570,1941,406,88877
Guinea,2019,3260,8426,11337,511,987,4037,17,2258,2224,13549,80,6438,1741,805,2009,275,14547,1933,2787,2382,3915,931,264,84713
Guinea-Bissau,2019,267,976,584,58,182,1003,4,457,152,1121,15,1218,100,163,322,34,2214,293,386,449,739,79,28,10844
Guyana,2019,6,780,17,63,179,181,2,156,24,262,27,61,49,250,567,2,2430,285,119,251,393,79,25,6208
Haiti,2019,997,10517,453,1455,3519,5908,42,1366,1562,6323,383,4090,953,1017,4245,177,26468,2371,3420,2151,4384,767,276,82844
Honduras,2019,109,7743,1,230,3321,91,104,1166,254,1121,389,1181,218,241,1127,56,15015,3163,3536,2952,5662,1058,401,49139
Hungary,2019,50,34293,0,131,144,37,63,803,10,1217,541,268,34,1902,2497,47,61818,1821,5936,3511,6413,4850,927,127313
Iceland,2019,1,654,0,2,2,1,14,11,0,102,8,5,2,37,26,1,724,33,111,17,62,151,37,2001
India,2019,34736,932587,33372,54046,40954,46298,8465,211975,41843,433661,23261,632345,26868,195336,273089,3945,2574410,222922,1168381,270037,464914,129011,45305,7867761
Indonesia,2019,4715,229524,637,5011,2261,5603,589,37004,5264,44317,653,59589,20348,7658,106333,940,651481,42131,100930,88670,126347,24381,7616,1572002
Iran,2019,577,66792,0,866,2209,1177,2918,21122,214,10219,250,962,230,4172,14738,778,173601,12546,16835,6832,11482,13910,2848,365278
Iraq,2019,427,24413,0,827,4816,82,585,5603,352,3178,57,629,104,2075,9257,125,79952,7887,3292,2720,3656,3259,842,154138
Ireland,2019,10,10384,0,45,32,9,200,166,2,1713,95,49,10,435,502,10,10347,700,2548,388,1170,1657,407,30879
Israel,2019,28,14627,0,47,184,37,63,610,9,1739,65,386,52,545,2647,8,12393,2765,2027,756,2067,2777,605,44437
Italy,2019,185,192052,0,351,488,621,563,5273,18,12393,351,1012,773,4315,21590,84,236507,16513,31345,12450,28523,48763,8036,622206
Jamaica,2019,21,4338,0,13,420,418,6,183,28,475,9,44,65,89,2399,3,6457,939,642,185,536,780,149,18199
Japan,2019,407,442474,0,7874,716,161,490,6841,40,118801,670,3670,1832,24773,8784,314,372483,45324,55794,26248,60801,164874,16750,1360121
Jordan,2019,83,5643,0,129,352,27,17,1262,76,1054,17,68,18,260,2053,60,11798,1813,856,644,1102,767,192,28291
Kazakhstan,2019,136,21073,0,908,1752,261,749,2781,54,4013,1701,59,121,4275,2588,466,65391,1873,9772,6705,8896,2319,741,136634
Kenya,2019,4396,23292,8049,614,4606,51135,92,4595,3767,21504,340,18564,4614,3155,6182,846,40611,4764,7705,13095,20749,2705,621,246001
Kiribati,2019,11,128,0,6,5,2,1,21,8,35,1,42,13,30,136,2,349,37,73,27,52,8,5,992
Kuwait,2019,12,1653,0,23,42,3,23,583,3,668,10,6,1,135,365,19,4119,322,230,204,338,425,58,9242
Kyrgyzstan,2019,38,4150,0,265,297,170,63,987,57,772,403,94,9,600,322,77,17482,489,1513,2143,2482,723,115,33251
Laos,2019,162,4975,23,389,560,374,17,1096,315,3392,70,1117,201,430,1553,30,13523,1712,2663,1273,2464,529,151,37019
Latvia,2019,8,5601,0,122,136,118,51,189,2,350,285,4,5,392,335,15,15779,263,433,388,945,1031,190,26642
Lebanon,2019,34,7493,0,55,216,61,127,441,17,910,15,61,15,176,859,35,16329,1180,1185,596,959,1255,226,32245
Lesotho,2019,162,2216,0,109,752,10793,7,923,150,1941,34,1431,194,736,1269,47,4028,559,1116,395,861,129,37,27889
Liberia,2019,432,2053,4587,86,127,1652,7,503,713,1940,32,2373,323,259,634,57,4299,645,534,955,1524,284,72,24091
Libya,2019,43,5435,0,92,130,85,202,2155,27,837,24,70,18,347,898,66,12747,1374,1173,724,1122,1094,203,28866
Lithuania,2019,16,7870,0,168,150,61,169,262,2,531,317,14,4,857,238,83,21301,262,779,830,1882,1542,276,37614
Luxembourg,2019,1,1295,0,3,7,2,15,38,0,137,28,17,8,69,68,1,1332,119,221,90,212,241,57,3961
Macedonia,2019,30,35234,0,373,130,22,186,1278,4,5957,42,44,10,500,1366,21,55921,4604,6399,1366,4075,6996,1567,126125
