Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Spain,2019,155,125835,0,425,335,679,728,2570,15,14184,429,1213,467,3759,10135,108,131493,14645,36560,8218,23212,29208,6137,410510
Sri Lanka,2019,297,18724,0,928,768,38,134,3309,104,4699,398,1019,163,4425,13273,64,46577,5560,13597,4369,5350,4141,858,128795
Sudan,2019,662,17100,2337,1256,626,5155,380,7349,2413,7026,100,6732,795,2029,2818,612,74371,4754,7191,4100,6314,2815,710,157645
Suriname,2019,7,716,0,28,49,100,3,102,11,163,16,38,15,145,267,2,1423,262,117,127,251,109,25,3976
Sweden,2019,31,26480,0,93,120,20,485,368,3,2846,364,742,127,1369,2069,33,36087,1999,4478,1069,3226,5637,1258,88904
Switzerland,2019,27,20248,0,52,54,37,212,338,4,1946,277,252,95,1171,1394,10,23969,2218,3074,1065,2972,5138,967,65520
Syria,2019,214,8784,0,137,300,14,153,1901,50,2284,61,117,92,320,1844,74,45682,2661,3249,2024,2596,1592,434,74583
Taiwan,2019,105,56953,0,508,343,171,518,3905,19,13067,415,131,126,4299,11324,78,41061,8248,9969,7287,11756,8755,2050,181088
Tajikistan,2019,125,5368,0,621,234,60,24,705,55,3279,147,820,25,464,1655,41,21856,405,1669,2188,2657,446,217,43061
Tanzania,2019,3765,31417,17014,1270,3462,27125,193,5824,5506,32990,350,15742,6887,3231,8430,1020,54489,6232,7001,8547,14522,3644,754,259415
Thailand,2019,1037,115544,1,4519,4035,17215,486,19541,282,31037,634,6211,992,7107,19570,155,115830,27446,23925,19603,32635,21553,4082,473440
Timor,2019,31,824,0,69,37,238,2,159,62,601,7,235,65,63,191,4,2459,233,516,210,431,102,31,6570
Togo,2019,625,3832,5436,147,559,3448,18,1453,551,4356,53,5848,237,591,1046,104,8361,1004,1332,1272,2330,400,111,43114
Tokelau,2019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,9
Tonga,2019,5,127,0,5,2,2,0,10,2,34,1,3,4,5,82,1,178,32,42,19,37,18,5,614
Trinidad and Tobago,2019,11,2017,0,37,316,206,10,186,7,274,32,25,26,155,1833,2,4016,618,271,188,465,335,73,11103
Tropical Latin America,2019,2072,272155,118,6291,66731,16131,1142,46030,2049,90114,10024,7695,8525,13931,67813,202,407905,44219,77698,38778,80152,55855,9778,1325408
Tunisia,2019,85,10110,0,128,78,148,158,2473,55,1838,34,121,29,410,1823,85,35007,2634,2649,1367,2175,2547,485,64439
Turkey,2019,351,104816,0,694,1605,226,345,7749,284,14868,240,732,1043,2585,19699,453,176663,19193,32981,7349,14116,19721,3838,429551
Turkmenistan,2019,52,3636,0,129,214,105,66,284,55,1284,180,75,11,440,759,37,18323,712,442,2381,2749,582,108,32624
Tuvalu,2019,0,14,0,1,1,1,0,3,0,5,0,1,0,2,11,0,42,5,7,2,4,2,1,102
Uganda,2019,3941,21648,22587,751,2378,20762,46,5563,2121,16497,261,10955,3937,2167,5033,545,28149,3386,5480,5189,9155,1854,417,172822
Ukraine,2019,399,99218,0,3436,5279,6643,1477,6980,81,8734,7716,83,139,13690,2821,1539,449376,2660,12181,20141,30240,16370,3586,692789
United Arab Emirates,2019,54,5473,0,174,87,160,805,3833,12,599,76,60,7,664,1325,42,8621,1433,1778,506,734,138,90,26671
United Kingdom,2019,265,195999,0,300,339,233,2654,2696,40,41877,1762,1419,159,5618,6368,135,188113,7776,51879,10031,33215,32425,7906,591209
United States,2019,1146,773895,0,3615,17709,7053,65717,41362,990,81921,14044,11727,6090,45349,77719,1528,957455,106954,224988,67286,129343,143919,32211,2812021
United States Virgin Islands,2019,0,330,0,5,26,8,2,15,0,25,12,1,4,9,80,0,501,52,31,33,57,29,14,1234
Uruguay,2019,14,10084,0,71,212,177,15,560,10,1595,111,165,134,666,895,16,10003,989,2155,471,1546,1497,349,31735
Uzbekistan,2019,175,22338,0,1597,974,585,188,4929,228,10787,156,161,41,3793,8154,368,107394,3971,3837,13042,15019,1119,544,199400
Vanuatu,2019,6,225,1,32,3,19,1,67,8,113,4,68,12,51,127,2,869,70,172,49,92,19,13,2023
Venezuela,2019,254,34771,667,524,10944,1850,90,6207,497,5555,188,1418,552,2310,10795,82,61510,10405,7062,4692,8601,6313,1119,176406
Vietnam,2019,747,112564,59,6098,1267,6399,1176,24153,234,21345,1000,1672,954,8114,29391,935,240161,21485,36229,23637,31306,19460,4259,592645
Wales,2019,14,10569,0,15,18,12,173,130,2,2591,90,76,10,310,326,8,10519,426,2892,581,1798,1687,400,32647
W. Sahara,2019,87572,195143,396398,10154,28001,165003,654,58550,45616,353643,2700,334654,38247,23263,59250,8031,398458,52474,64223,78737,138891,25519,7125,2572306
Yemen,2019,479,12681,5089,843,820,347,261,11717,1705,6289,82,6614,1010,1560,1815,450,55752,2676,5738,2786,4877,1731,413,125735
Zambia,2019,2065,9789,4777,359,1616,22540,60,2285,804,8190,137,7224,1899,1398,2573,309,18157,1931,2388,4593,6528,763,203,100588
Zimbabwe,2019,1450,12353,2068,827,1434,20722,127,2554,1294,12897,53,4635,2884,2403,3460,405,17810,2292,2891,2065,4437,812,232,100105
