Country,Year,Cause_of_Death,Number_of_Deaths
Afghanistan,2016,Alzheimer_disease,1690
Afghanistan,2016,Parkinson_disease,524
Afghanistan,2010,Meningitis,2410
Afghanistan,2010,Neoplasms,16718
Afghanistan,2010,Malaria,377
Afghanistan,2010,Drowning,1837
Afghanistan,2010,Interpersonal_violence,4130
Afghanistan,2010,HIV,176
Afghanistan,2010,Drug_use_disorders,281
Afghanistan,2010,Road_injuries,7379
Afghanistan,2010,Maternal_disorders,4940
Afghanistan,2010,Alcohol_use_disorders,118
Afghanistan,2010,Diarrheal,6889
Afghanistan,2010,Nutritional_deficiencies,1974
Afghanistan,2010,Self.harm,1367
Afghanistan,2010,Diabetes_mellitus,3413
Afghanistan,2010,Poisonings,484
Afghanistan,2010,Cardiovascular,53934
Afghanistan,2010,Kidney_disease,4693
Afghanistan,2010,Respiratory_diseases,6969
Afghanistan,2010,Liver_diseases,3304
Afghanistan,2010,Digestive_diseases,6367
Afghanistan,2010,Alzheimer_disease,1476
Afghanistan,2010,Parkinson_disease,465
Afghanistan,2017,Meningitis,1665
Afghanistan,2017,Neoplasms,20111
Afghanistan,2017,Malaria,399
Afghanistan,2017,Drowning,1723
Afghanistan,2017,Interpersonal_violence,5191
Afghanistan,2017,HIV,272
Afghanistan,2017,Drug_use_disorders,372
Afghanistan,2017,Road_injuries,8013
Afghanistan,2017,Maternal_disorders,4123
Afghanistan,2017,Alcohol_use_disorders,139
Afghanistan,2017,Diarrheal,5328
Afghanistan,2017,Nutritional_deficiencies,1367
Afghanistan,2017,Self.harm,1548
Afghanistan,2017,Diabetes_mellitus,4497
Afghanistan,2017,Poisonings,512
Afghanistan,2017,Cardiovascular,59553
Afghanistan,2017,Kidney_disease,5419
Afghanistan,2017,Respiratory_diseases,6982
Afghanistan,2017,Liver_diseases,3693
Afghanistan,2017,Digestive_diseases,6841
Afghanistan,2017,Alzheimer_disease,1728
Afghanistan,2017,Parkinson_disease,537
Afghanistan,2018,Meningitis,1576
Afghanistan,2018,Neoplasms,20673
Afghanistan,2018,Malaria,466
Afghanistan,2018,Drowning,1669
Afghanistan,2018,Interpersonal_violence,5500
Afghanistan,2018,HIV,291
Afghanistan,2018,Drug_use_disorders,390
Afghanistan,2018,Road_injuries,8095
Afghanistan,2018,Maternal_disorders,4102
Afghanistan,2018,Alcohol_use_disorders,143
Afghanistan,2018,Diarrheal,4597
Afghanistan,2018,Nutritional_deficiencies,1279
Afghanistan,2018,Self.harm,1582
Afghanistan,2018,Diabetes_mellitus,4664
Afghanistan,2018,Poisonings,514
Afghanistan,2018,Cardiovascular,60893
Afghanistan,2018,Kidney_disease,5531
Afghanistan,2018,Respiratory_diseases,7036
Afghanistan,2018,Liver_diseases,3732
Afghanistan,2018,Digestive_diseases,6861
Afghanistan,2018,Alzheimer_disease,1757
Afghanistan,2018,Parkinson_disease,551
Afghanistan,2019,Meningitis,1563
Afghanistan,2019,Neoplasms,21247
Afghanistan,2019,Malaria,530
Afghanistan,2019,Drowning,1687
Afghanistan,2019,Interpersonal_violence,5015
Afghanistan,2019,HIV,318
Afghanistan,2019,Drug_use_disorders,406
Afghanistan,2019,Road_injuries,8254
Afghanistan,2019,Maternal_disorders,4038
Afghanistan,2019,Alcohol_use_disorders,147
Afghanistan,2019,Diarrheal,4320
Afghanistan,2019,Nutritional_deficiencies,1244
Afghanistan,2019,Self.harm,1613
Afghanistan,2019,Diabetes_mellitus,4817
Afghanistan,2019,Poisonings,525
Afghanistan,2019,Cardiovascular,61995
Afghanistan,2019,Kidney_disease,5637
Afghanistan,2019,Respiratory_diseases,7082
Afghanistan,2019,Liver_diseases,3797
Afghanistan,2019,Digestive_diseases,6929
Afghanistan,2019,Alzheimer_disease,1775
Afghanistan,2019,Parkinson_disease,560
Armenia,2009,Meningitis,9
Armenia,2009,Neoplasms,5635
Armenia,2009,Malaria,0
Armenia,2009,Drowning,58
Armenia,2009,Interpersonal_violence,153
Armenia,2009,HIV,12
Armenia,2009,Drug_use_disorders,10
Armenia,2009,Road_injuries,260
Armenia,2009,Maternal_disorders,12
Armenia,2009,Alcohol_use_disorders,63
Armenia,2009,Diarrheal,23
Armenia,2009,Nutritional_deficiencies,5
Armenia,2009,Self.harm,286
Armenia,2009,Diabetes_mellitus,1355
Armenia,2009,Poisonings,19
Armenia,2009,Cardiovascular,13478
Armenia,2009,Kidney_disease,309
Armenia,2009,Respiratory_diseases,1201
Armenia,2009,Liver_diseases,1071
Armenia,2009,Digestive_diseases,1617
Armenia,2009,Alzheimer_disease,577
Armenia,2009,Parkinson_disease,153
Armenia,2010,Meningitis,8
Armenia,2010,Neoplasms,5672
Armenia,2010,Malaria,0
Armenia,2010,Drowning,57
Armenia,2010,Interpersonal_violence,154
Armenia,2010,HIV,10
Armenia,2010,Drug_use_disorders,10
Armenia,2010,Road_injuries,257
Armenia,2010,Maternal_disorders,7
Armenia,2010,Alcohol_use_disorders,62
Armenia,2010,Diarrheal,20
Armenia,2010,Nutritional_deficiencies,5
Armenia,2010,Self.harm,296
Armenia,2010,Diabetes_mellitus,1345
Armenia,2010,Poisonings,20
Armenia,2010,Cardiovascular,13493
Armenia,2010,Kidney_disease,334
Armenia,2010,Respiratory_diseases,1196
Armenia,2010,Liver_diseases,1101
Armenia,2010,Digestive_diseases,1668
Armenia,2010,Alzheimer_disease,614
Armenia,2010,Parkinson_disease,159
Armenia,2011,Meningitis,7
Armenia,2011,Neoplasms,5697
Armenia,2011,Malaria,0
Armenia,2011,Drowning,54
Armenia,2011,Interpersonal_violence,151
Armenia,2011,HIV,10
Armenia,2011,Drug_use_disorders,10
Armenia,2011,Road_injuries,263
Armenia,2011,Maternal_disorders,8
Armenia,2011,Alcohol_use_disorders,61
Armenia,2011,Diarrheal,19
Armenia,2011,Nutritional_deficiencies,4
Armenia,2011,Self.harm,306
Armenia,2011,Diabetes_mellitus,1321
Armenia,2011,Poisonings,20
Armenia,2011,Cardiovascular,13432
Armenia,2011,Kidney_disease,353
Armenia,2011,Respiratory_diseases,1207
Armenia,2011,Liver_diseases,1129
Armenia,2011,Digestive_diseases,1714
Armenia,2011,Alzheimer_disease,647
Armenia,2011,Parkinson_disease,162
Armenia,2012,Meningitis,7
Armenia,2012,Neoplasms,5672
Armenia,2012,Malaria,0
Armenia,2012,Drowning,53
Armenia,2012,Interpersonal_violence,193
Armenia,2012,HIV,20
Armenia,2012,Drug_use_disorders,9
Armenia,2012,Road_injuries,267
Armenia,2012,Maternal_disorders,7
Armenia,2012,Alcohol_use_disorders,62
Armenia,2012,Diarrheal,17
Armenia,2012,Nutritional_deficiencies,4
Armenia,2012,Self.harm,308
Armenia,2012,Diabetes_mellitus,1282
Armenia,2012,Poisonings,20
Armenia,2012,Cardiovascular,13268
Armenia,2012,Kidney_disease,385
Armenia,2012,Respiratory_diseases,1217
Armenia,2012,Liver_diseases,1116
Armenia,2012,Digestive_diseases,1718
Armenia,2012,Alzheimer_disease,681
Armenia,2012,Parkinson_disease,164
Armenia,2013,Meningitis,6
Armenia,2013,Neoplasms,5571
Armenia,2013,Malaria,0
Armenia,2013,Drowning,49
Armenia,2013,Interpersonal_violence,174
Armenia,2013,HIV,16
Armenia,2013,Drug_use_disorders,9
Armenia,2013,Road_injuries,259
Armenia,2013,Maternal_disorders,9
Armenia,2013,Alcohol_use_disorders,63
Armenia,2013,Diarrheal,16
Armenia,2013,Nutritional_deficiencies,3
Armenia,2013,Self.harm,299
Armenia,2013,Diabetes_mellitus,1226
Armenia,2013,Poisonings,19
Armenia,2013,Cardiovascular,12927
Armenia,2013,Kidney_disease,395
Armenia,2013,Respiratory_diseases,1211
Armenia,2013,Liver_diseases,1097
Armenia,2013,Digestive_diseases,1704
Armenia,2013,Alzheimer_disease,713
