"Region, subregion, country or area *",Type,Year,Gender,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Total
Malaysia,Country/Area,2009,Male,2.266,0.7518378378378379,0.496,1.431,1.738,1.68,1.958,2.378,3.011,4.051,5.32,6.333,7.158,7.674,8.284,7.233,4.85,3.043,1.331,0.375,0.061,71.037
Malaysia,Country/Area,2010,Male,2.241,0.7518378378378379,0.49,1.455,1.739,1.718,1.971,2.377,3.072,4.113,5.493,6.581,7.401,7.844,8.39,7.646,5.204,3.302,1.519,0.433,0.076,73.42
Malaysia,Country/Area,2011,Male,2.29,0.7518378378378379,0.489,1.492,1.734,1.733,2.021,2.412,3.095,4.165,5.68,6.8,7.709,8.105,8.75,8.077,5.357,3.433,1.635,0.47,0.087,75.883
Malaysia,Country/Area,2012,Male,2.298,0.7518378378378379,0.497,1.534,1.733,1.719,2.05,2.437,3.118,4.22,5.852,7.068,8.025,8.395,8.976,8.534,5.556,3.652,1.783,0.523,0.102,78.413
Malaysia,Country/Area,2013,Male,2.317,0.7518378378378379,0.512,1.572,1.761,1.718,2.096,2.489,3.185,4.316,6.055,7.414,8.384,8.834,9.143,9.02,5.978,4.076,2.021,0.617,0.124,81.974
Malaysia,Country/Area,2014,Male,2.351,0.7518378378378379,0.526,1.578,1.796,1.719,2.16,2.575,3.291,4.444,6.255,7.79,8.791,9.401,9.243,9.493,6.575,4.601,2.285,0.732,0.147,86.097
Malaysia,Country/Area,2015,Male,2.346,0.7518378378378379,0.532,1.577,1.817,1.723,2.229,2.698,3.397,4.542,6.41,8.109,9.168,9.964,9.433,9.87,7.139,5.011,2.482,0.82,0.163,89.776
Malaysia,Country/Area,2016,Male,2.328,0.7518378378378379,0.521,1.579,1.808,1.713,2.276,2.825,3.496,4.6,6.48,8.328,9.475,10.477,9.721,10.152,7.498,5.173,2.563,0.858,0.169,92.381
Malaysia,Country/Area,2017,Male,2.311,0.7518378378378379,0.503,1.554,1.77,1.697,2.31,2.963,3.597,4.637,6.458,8.455,9.63,10.891,10.024,10.41,7.719,5.194,2.608,0.876,0.172,94.111
Malaysia,Country/Area,2018,Male,2.271,0.7518378378378379,0.485,1.525,1.731,1.679,2.333,3.102,3.719,4.69,6.418,8.56,9.754,11.287,10.405,10.644,7.952,5.237,2.678,0.891,0.18,95.866
Malaysia,Country/Area,2019,Male,2.209,0.7518378378378379,0.463,1.501,1.697,1.666,2.359,3.242,3.886,4.785,6.408,8.667,9.915,11.695,10.918,10.93,8.216,5.358,2.762,0.908,0.19,98.095
Malaysia,Country/Area,2020,Male,2.094,0.7518378378378379,0.444,1.478,1.662,1.648,2.388,3.372,4.087,4.905,6.427,8.729,10.097,12.071,11.514,11.282,8.457,5.551,2.842,0.932,0.201,100.496
Malaysia,Country/Area,2021,Male,1.963,0.7518378378378379,0.433,1.434,1.628,1.774,2.702,4.064,5.383,6.552,8.49,11.189,12.923,15.051,14.619,13.463,10.043,7.006,3.696,1.229,0.263,124.213
Malaysia,Country/Area,2022,Male,1.932,0.7518378378378379,0.424,1.384,1.577,1.652,2.533,3.78,4.938,5.787,7.41,9.699,11.53,13.641,13.674,12.963,9.236,6.379,3.152,1.048,0.223,113.258
Malaysia,Country/Area,2023,Male,1.913,0.7518378378378379,0.413,1.319,1.523,1.549,2.403,3.585,4.674,5.326,6.708,8.698,10.604,12.769,13.15,12.94,8.743,6.095,2.887,0.97,0.206,106.752
